delta = 0.260000, m = 6
0.798067	0.900000	0.010880	0.708994	0.733333	0.087082	0.741932	0.886667	0.014988	0.709332	0.853333	0.006550
0.822641	0.933333	0.009376	0.743317	0.893333	0.075912	0.798067	0.900000	0.011479	0.777317	0.880000	0.006664
0.771104	0.873333	0.008571	0.722397	0.800000	0.077915	0.750781	0.886667	0.012911	0.813866	0.913333	0.006395
0.702355	0.806667	0.008168	0.727280	0.846667	0.074762	0.798067	0.900000	0.012475	0.596667	0.680000	0.006255
0.805754	0.906667	0.011020	0.795905	0.926667	0.075198	0.798067	0.900000	0.011801	0.685031	0.820000	0.008425
0.770141	0.893333	0.008500	0.749751	0.873333	0.077245	0.758206	0.893333	0.011804	0.741932	0.886667	0.006565
0.777317	0.880000	0.012358	0.747635	0.900000	0.075150	0.790781	0.893333	0.011820	0.713562	0.826667	0.006215
0.813866	0.913333	0.009040	0.749637	0.893333	0.079066	0.758206	0.893333	0.011860	0.711547	0.766667	0.006797
0.710996	0.720000	0.010370	0.732316	0.820000	0.077480	0.777706	0.900000	0.012213	0.713116	0.773333	0.007032
0.805754	0.906667	0.008445	0.727749	0.880000	0.078667	0.777706	0.900000	0.012302	0.756185	0.880000	0.006502
0.822641	0.933333	0.007879	0.637078	0.826667	0.078016	0.798067	0.900000	0.013731	0.805754	0.906667	0.006914
0.805754	0.906667	0.009440	0.822641	0.933333	0.078057	0.805754	0.906667	0.011820	0.777317	0.880000	0.006440
0.708717	0.740000	0.009669	0.536081	0.693333	0.080475	0.783870	0.886667	0.012699	0.727749	0.880000	0.007538
0.702355	0.806667	0.009789	0.758206	0.893333	0.077883	0.767290	0.913333	0.011787	0.715301	0.873333	0.007070
0.665932	0.840000	0.012282	0.758206	0.893333	0.079976	0.750781	0.886667	0.011430	0.709551	0.820000	0.006437
0.705815	0.813333	0.011872	0.813045	0.933333	0.076921	0.805754	0.906667	0.011639	0.777340	0.920000	0.006427
0.708994	0.733333	0.008651	0.794144	0.913333	0.078538	0.790781	0.893333	0.013072	0.709551	0.820000	0.006843
0.770141	0.893333	0.008982	0.722515	0.880000	0.076855	0.798067	0.900000	0.012604	0.765217	0.866667	0.008797
0.709737	0.726667	0.008999	0.762975	0.886667	0.076928	0.783870	0.886667	0.011377	0.813045	0.933333	0.006479
0.705815	0.813333	0.008750	0.750781	0.886667	0.074835	0.790781	0.893333	0.012419	0.766057	0.900000	0.006039
0.812566	0.926667	0.008183	0.798067	0.900000	0.075996	0.783870	0.886667	0.012459	0.708717	0.740000	0.007613
0.798067	0.900000	0.009811	0.778198	0.920000	0.077220	0.758206	0.893333	0.012015	0.732316	0.820000	0.006375
0.813045	0.933333	0.009679	0.428953	0.780000	0.076845	0.758206	0.893333	0.013286	0.783870	0.886667	0.006272
0.805754	0.906667	0.008539	0.744707	0.840000	0.079842	0.741932	0.886667	0.012395	0.798067	0.900000	0.007068
0.710996	0.720000	0.009715	0.813866	0.913333	0.076308	0.798067	0.900000	0.012283	0.713116	0.773333	0.007345
0.740300	0.833333	0.010894	0.813866	0.913333	0.075736	0.798067	0.900000	0.012198	0.722931	0.693333	0.008010
0.705815	0.813333	0.008575	0.705815	0.813333	0.074134	0.758206	0.893333	0.013064	0.802448	0.926667	0.006031
0.785696	0.906667	0.009525	0.805754	0.906667	0.077630	0.758206	0.893333	0.014349	0.683820	0.740000	0.009355
0.705815	0.813333	0.009610	0.798067	0.900000	0.076753	0.805754	0.906667	0.013250	0.569246	0.520000	0.007332
