delta = 0.100000, m = 10
0.848345	0.957983	0.046799	0.698425	0.802521	0.042386	0.702054	0.781513	0.023231
0.602059	0.815126	0.040225	0.964509	0.991597	0.036858	0.691073	0.781513	0.020576
0.294285	0.642857	0.040236	0.678990	0.794118	0.042300	0.931252	0.983193	0.021723
0.288711	0.600840	0.041077	0.664675	0.802521	0.037399	0.979544	0.995798	0.022839
0.264380	0.630252	0.032555	1.000000	1.000000	0.039846	0.951517	0.987395	0.021515
0.668372	0.869748	0.039650	1.000000	1.000000	0.036099	0.964509	0.991597	0.019845
0.285705	0.630252	0.038639	0.651733	0.798319	0.042223	0.700351	0.785714	0.020358
0.650721	0.789916	0.036656	0.951517	0.987395	0.037071	0.964509	0.991597	0.021400
0.253783	0.617647	0.036506	0.624478	0.785714	0.044792	0.702054	0.781513	0.026537
0.265188	0.630252	0.038855	0.979149	0.995798	0.034191	0.721419	0.781513	0.016316
0.270724	0.634454	0.030018	0.901837	0.974790	0.042336	0.699594	0.810924	0.020802
0.269812	0.621849	0.037849	0.671085	0.798319	0.037873	0.704467	0.777311	0.021848
0.489493	0.693277	0.034291	1.000000	1.000000	0.043073	0.964509	0.991597	0.021835
0.641529	0.836134	0.039534	0.698425	0.802521	0.040182	0.672705	0.781513	0.022881
0.296957	0.638655	0.036004	0.670977	0.789916	0.041176	1.000000	1.000000	0.027190
0.616295	0.781513	0.039329	0.643198	0.802521	0.036984	0.701898	0.802521	0.023693
0.827350	0.945378	0.038826	0.659309	0.777311	0.038797	0.753698	0.777311	0.022666
0.744892	0.802521	0.039628	0.657508	0.798319	0.034707	0.979181	0.995798	0.022314
0.637956	0.777311	0.041551	0.681373	0.781513	0.037990	0.951517	0.987395	0.025314
0.649473	0.777311	0.035225	0.951517	0.987395	0.041455	0.922711	0.983193	0.020490
0.634216	0.802521	0.040051	0.702054	0.781513	0.040203	0.636417	0.743697	0.022255
0.893125	0.962185	0.031191	0.645698	0.781513	0.040588	0.951517	0.987395	0.025357
0.651038	0.794118	0.040138	0.671571	0.785714	0.043430	0.702054	0.781513	0.023070
0.233809	0.592437	0.038474	0.915230	0.978992	0.038438	1.000000	1.000000	0.020913
0.636611	0.794118	0.033559	0.664906	0.781513	0.041552	0.979544	0.995798	0.022110
0.681373	0.781513	0.038307	0.670835	0.794118	0.036465	0.951517	0.987395	0.021131
0.658397	0.802521	0.035295	0.635612	0.802521	0.042277	1.000000	1.000000	0.023023
0.677295	0.844538	0.039472	0.630762	0.798319	0.037616	0.939848	0.983193	0.024319
